			log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000173391.7	ENSG00000173391	7	2.220496689	0.394164282	5.633429489	1.77E-08	1.04E-06
ENSG00000163606.9	ENSG00000163606	9	2.217811118	0.407965897	5.436265961	5.44E-08	2.75E-06
ENSG00000095970.15	ENSG00000095970	15	2.213642561	0.24383722	9.078362053	1.10E-19	5.02E-17
ENSG00000196611.4	ENSG00000196611	4	2.213615802	0.452998745	4.886582638	1.03E-06	3.35E-05
ENSG00000132965.8	ENSG00000132965	8	2.212578351	0.503467347	4.394680933	1.11E-05	0.000237433
ENSG00000172236.15	ENSG00000172236	15	2.206478203	0.459003916	4.807101041	1.53E-06	4.65E-05
ENSG00000276085.1	ENSG00000276085	1	2.203340735	0.490040425	4.496242807	6.92E-06	0.000159856
ENSG00000173372.15	ENSG00000173372	15	2.196132852	0.24206148	9.07262425	1.16E-19	5.19E-17
ENSG00000131979.17	ENSG00000131979	17	2.190330128	0.341423336	6.415291221	1.41E-10	1.41E-08
ENSG00000259004.1	ENSG00000259004	1	2.188347727	0.803462798	2.723645369	0.006456579	0.032131666
ENSG00000226979.7	ENSG00000226979	7	2.184139238	0.554769205	3.937023213	8.25E-05	0.001158442
ENSG00000272851.1	ENSG00000272851	1	2.177259901	0.375995471	5.79065459	7.01E-09	4.68E-07
ENSG00000056291.16	ENSG00000056291	16	2.176287351	0.725121222	3.001273836	0.002688527	0.016914385
ENSG00000132109.9	ENSG00000132109	9	2.173068761	0.329565118	6.593746259	4.29E-11	4.88E-09
ENSG00000159403.14	ENSG00000159403	14	2.168007586	0.290714713	7.457508994	8.82E-14	1.62E-11
ENSG00000168421.11	ENSG00000168421	11	2.165474686	0.445273285	4.863248612	1.15E-06	3.70E-05
ENSG00000228863.7	ENSG00000228863	7	2.162490897	0.684601727	3.158757582	0.001584432	0.011432171
ENSG00000147614.3	ENSG00000147614	3	2.154617428	0.395890901	5.442452512	5.26E-08	2.66E-06
ENSG00000229056.2	ENSG00000229056	2	2.146837495	0.551317767	3.894011085	9.86E-05	0.001329543
ENSG00000123975.4	ENSG00000123975	4	2.138632136	0.276306914	7.740060151	9.94E-15	2.24E-12
ENSG00000130303.11	ENSG00000130303	11	2.134264969	0.273010856	7.817509518	5.39E-15	1.26E-12
ENSG00000211776.2	ENSG00000211776	2	2.134098481	0.687385399	3.104660767	0.001904974	0.013127766
ENSG00000280755.1	ENSG00000280755	1	2.131795416	0.391239314	5.448827196	5.07E-08	2.59E-06
ENSG00000143167.10	ENSG00000143167	10	2.128215135	0.552302613	3.853349751	0.000116513	0.001520679
ENSG00000042493.14	ENSG00000042493	14	2.127979967	0.329927841	6.449834479	1.12E-10	1.14E-08
ENSG00000211734.3	ENSG00000211734	3	2.126560052	0.599302391	3.548392404	0.00038759	0.003896789
ENSG00000259834.1	ENSG00000259834	1	2.120858017	0.486964738	4.355259939	1.33E-05	0.000270355
ENSG00000245954.5	ENSG00000245954	5	2.11888671	0.608649999	3.481289268	0.000499006	0.004726699
ENSG00000211745.3	ENSG00000211745	3	2.116545506	0.81310865	2.603029135	0.00924041	0.042261024
ENSG00000134489.6	ENSG00000134489	6	2.116213494	0.728651011	2.904289519	0.003680876	0.021243433
ENSG00000011600.10	ENSG00000011600	10	2.105038909	0.315554082	6.670929111	2.54E-11	3.06E-09
ENSG00000038210.12	ENSG00000038210	12	2.10461277	0.287529873	7.319631687	2.49E-13	4.40E-11
ENSG00000211747.3	ENSG00000211747	3	2.102558346	0.603946021	3.481367993	0.00049886	0.004726699
ENSG00000232004.1	ENSG00000232004	1	2.100626028	0.733015735	2.865731156	0.004160474	0.023210958
ENSG00000101842.12	ENSG00000101842	12	2.097887218	0.404216534	5.190008431	2.10E-07	8.66E-06
ENSG00000135220.9	ENSG00000135220	9	2.092508945	0.636240182	3.288866381	0.001005918	0.008019859
ENSG00000115165.8	ENSG00000115165	8	2.0899528	0.467471281	4.470761919	7.79E-06	0.000176703
ENSG00000162374.15	ENSG00000162374	15	2.086376543	0.44323527	4.707153704	2.51E-06	7.15E-05
ENSG00000281344.1	ENSG00000281344	1	2.074253079	0.29072309	7.13480679	9.69E-13	1.60E-10
ENSG00000230099.2	ENSG00000230099	2	2.0740371	0.766013073	2.707574025	0.006777695	0.033385393
ENSG00000110852.4	ENSG00000110852	4	2.073846732	0.399108408	5.196199055	2.03E-07	8.45E-06
ENSG00000211706.2	ENSG00000211706	2	2.072759378	0.646735251	3.204958097	0.001350821	0.010094353
ENSG00000141574.6	ENSG00000141574	6	2.069625434	0.258001309	8.021763316	1.04E-15	2.76E-13
ENSG00000120280.5	ENSG00000120280	5	2.065369324	0.388190158	5.320509241	1.03E-07	4.77E-06
ENSG00000234431.2	ENSG00000234431	2	2.058825153	0.668031785	3.081926936	0.002056653	0.013908877
ENSG00000146386.7	ENSG00000146386	7	2.05490686	0.340065902	6.042672462	1.52E-09	1.21E-07
