			log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000171711.2	ENSG00000171711	2	5.200680856	1.414140777	3.677625977	0.000235415	0.003515279
ENSG00000270484.1	ENSG00000270484	1	5.19963423	1.625573528	3.198645979	0.001380746	0.012818854
ENSG00000147588.6	ENSG00000147588	6	5.191929048	1.692111145	3.068314432	0.0021527	0.01752415
ENSG00000205176.3	ENSG00000205176	3	5.186724906	1.726363527	3.0044222	0.002660858	0.02023578
ENSG00000135114.11	ENSG00000135114	11	5.184442325	0.39824705	13.01815627	9.65E-39	4.37E-35
ENSG00000257434.1	ENSG00000257434	1	5.152137026	1.742315582	2.957063049	0.003105846	0.022607264
ENSG00000198930.11	ENSG00000198930	11	5.145192386	0.779421673	6.601294991	4.08E-11	7.74E-09
ENSG00000175077.5	ENSG00000175077	5	5.082388375	1.61757449	3.141981038	0.001678089	0.014676526
ENSG00000268181.3	ENSG00000268181	3	5.065223341	1.664681334	3.042758538	0.002344204	0.018517095
ENSG00000253146.1	ENSG00000253146	1	5.059887358	1.340952804	3.773352308	0.000161069	0.002654993
ENSG00000084628.8	ENSG00000084628	8	5.030236362	0.601253923	8.366242903	5.95E-17	2.83E-14
ENSG00000279774.1	ENSG00000279774	1	5.009646448	1.636306934	3.061556694	0.002201893	0.017739988
ENSG00000261020.1	ENSG00000261020	1	4.987786331	1.785378969	2.793684936	0.005211122	0.032553225
ENSG00000242163.1	ENSG00000242163	1	4.909423784	1.841978755	2.66529881	0.007691994	0.04315428
ENSG00000183486.11	ENSG00000183486	11	4.90611924	0.331585275	14.79595027	1.56E-49	2.11E-45
ENSG00000256315.1	ENSG00000256315	1	4.878960059	1.771369557	2.754343406	0.005881003	0.035558741
ENSG00000258551.4	ENSG00000258551	4	4.847785183	0.756787832	6.405738805	1.50E-10	2.52E-08
ENSG00000206195.9	ENSG00000206195	9	4.821250663	1.653575329	2.91565227	0.003549459	0.024774163
ENSG00000279358.1	ENSG00000279358	1	4.786812556	1.713739961	2.793196555	0.005218997	0.032582766
ENSG00000279860.1	ENSG00000279860	1	4.763768213	1.823165476	2.612910498	0.008977481	0.048222403
ENSG00000119922.8	ENSG00000119922	8	4.75250725	0.368836241	12.88514177	5.46E-38	1.85E-34
ENSG00000182393.2	ENSG00000182393	2	4.728054391	0.792223521	5.968081313	2.40E-09	2.68E-07
ENSG00000215612.6	ENSG00000215612	6	4.722147113	0.800285108	5.900581016	3.62E-09	3.89E-07
ENSG00000260802.1	ENSG00000260802	1	4.722011096	0.94993045	4.970901917	6.66E-07	3.47E-05
ENSG00000226835.1	ENSG00000226835	1	4.708268122	1.319964104	3.566966788	0.000361137	0.004835038
ENSG00000230448.4	ENSG00000230448	4	4.70318901	1.713776262	2.744342488	0.006063224	0.036359269
ENSG00000241369.4	ENSG00000241369	4	4.672783493	1.333245522	3.504818442	0.000456919	0.005717705
ENSG00000213492.2	ENSG00000213492	2	4.669152293	0.586290415	7.963889862	1.67E-15	6.96E-13
ENSG00000081800.7	ENSG00000081800	7	4.665299765	1.763781179	2.645055872	0.008167743	0.045142775
ENSG00000136689.17	ENSG00000136689	17	4.65517362	0.636078915	7.318547287	2.51E-13	7.48E-11
ENSG00000236768.1	ENSG00000236768	1	4.654547673	1.760736286	2.643523457	0.008204808	0.045273941
ENSG00000279217.1	ENSG00000279217	1	4.606782509	1.119287199	4.115818098	3.86E-05	0.000898071
ENSG00000115009.10	ENSG00000115009	10	4.606504103	1.301312816	3.539889906	0.000400294	0.005200376
ENSG00000224416.2	ENSG00000224416	2	4.603722304	1.390421246	3.311027012	0.000929542	0.009619435
ENSG00000227087.4	ENSG00000227087	4	4.592387635	1.680052345	2.7334789	0.006266914	0.037259951
ENSG00000275976.3	ENSG00000275976	3	4.589149211	1.697200917	2.703951645	0.006852026	0.03961168
ENSG00000197110.7	ENSG00000197110	7	4.563158281	1.481639585	3.079803163	0.002071374	0.017106032
ENSG00000227737.2	ENSG00000227737	2	4.540130813	1.743880872	2.603463852	0.0092287	0.049320801
ENSG00000261822.1	ENSG00000261822	1	4.4121028	0.83736084	5.269057962	1.37E-07	8.98E-06
ENSG00000270641.1	ENSG00000270641	1	4.362935416	1.120430889	3.893979947	9.86E-05	0.001837323
ENSG00000184144.8	ENSG00000184144	8	4.351789066	0.612593309	7.103879532	1.21E-12	3.20E-10
ENSG00000268088.1	ENSG00000268088	1	4.330179518	1.285032054	3.369705453	0.000752486	0.008242449
ENSG00000184697.6	ENSG00000184697	6	4.326978482	0.385512906	11.22395234	3.11E-29	4.97E-26
ENSG00000254965.1	ENSG00000254965	1	4.300262279	1.337592554	3.214926897	0.001304777	0.012287151
ENSG00000227517.5	ENSG00000227517	5	4.300262088	1.334409393	3.222595788	0.001270347	0.012041228
ENSG00000157601.12	ENSG00000157601	12	4.270072183	0.330204008	12.93161828	2.98E-38	1.16E-34
ENSG00000224050.1	ENSG00000224050	1	4.264778735	1.528052155	2.790990294	0.005254705	0.032709454
ENSG00000197272.2	ENSG00000197272	2	4.264126194	0.801685578	5.318950857	1.04E-07	7.00E-06
ENSG00000254170.1	ENSG00000254170	1	4.256808072	1.388926342	3.064819166	0.002178016	0.0176509
ENSG00000226025.8	ENSG00000226025	8	4.242727355	0.589178447	7.201090569	5.97E-13	1.66E-10
ENSG00000213661.3	ENSG00000213661	3	4.196489562	1.03116061	4.069675977	4.71E-05	0.001046554
ENSG00000138675.15	ENSG00000138675	15	4.184481516	1.324876465	3.158393728	0.001586411	0.014087893
ENSG00000163666.7	ENSG00000163666	7	4.175411236	0.468267906	8.916714527	4.80E-19	2.84E-16
ENSG00000089127.11	ENSG00000089127	11	4.156675529	0.311359168	13.3500984	1.18E-40	8.03E-37
ENSG00000232337.1	ENSG00000232337	1	4.14909508	1.394644642	2.975019554	0.002929699	0.021661749
ENSG00000263393.1	ENSG00000263393	1	4.111720729	0.744244538	5.524690502	3.30E-08	2.67E-06
ENSG00000197085.10	ENSG00000197085	10	4.098401854	1.363950943	3.004801511	0.002657542	0.020221886
ENSG00000173157.15	ENSG00000173157	15	4.071801713	1.399716575	2.909018716	0.003625652	0.025173695
ENSG00000134326.10	ENSG00000134326	10	4.070360042	0.326896173	12.45153775	1.37E-35	4.14E-32
ENSG00000255439.5	ENSG00000255439	5	4.023651455	0.508097301	7.919056928	2.39E-15	9.70E-13
ENSG00000108702.3	ENSG00000108702	3	4.021676202	1.248709298	3.220666498	0.001278929	0.012101045
ENSG00000236090.2	ENSG00000236090	2	4.019400558	1.362881594	2.94919278	0.003186052	0.022987807
ENSG00000102794.8	ENSG00000102794	8	3.994878989	0.830117581	4.812425469	1.49E-06	6.56E-05
ENSG00000179674.3	ENSG00000179674	3	3.98562141	0.886388867	4.496470518	6.91E-06	0.000227497
ENSG00000280755.1	ENSG00000280755	1	3.979231574	0.940311336	4.231823464	2.32E-05	0.000595739
ENSG00000137959.14	ENSG00000137959	14	3.978899023	0.330200743	12.04993963	1.94E-33	4.39E-30
ENSG00000225101.4	ENSG00000225101	4	3.972265334	0.550223875	7.219361998	5.22E-13	1.48E-10
ENSG00000229217.1	ENSG00000229217	1	3.966932851	1.069371878	3.709591522	0.000207594	0.003190772
ENSG00000122643.17	ENSG00000122643	17	3.948395597	0.408332845	9.669551791	4.06E-22	3.06E-19
ENSG00000183242.10	ENSG00000183242	10	3.92184583	0.895364723	4.380165679	1.19E-05	0.000353232
ENSG00000165443.10	ENSG00000165443	10	3.91222563	0.557230499	7.020839015	2.21E-12	5.50E-10
ENSG00000164825.3	ENSG00000164825	3	3.89879427	0.747032435	5.219042827	1.80E-07	1.13E-05
ENSG00000109511.9	ENSG00000109511	9	3.891792218	1.006355784	3.867213048	0.000110086	0.00200839
ENSG00000134321.10	ENSG00000134321	10	3.874336767	0.379119683	10.21929734	1.63E-24	1.77E-21
ENSG00000262979.1	ENSG00000262979	1	3.87289133	0.588979213	6.575599353	4.85E-11	9.02E-09
ENSG00000222017.1	ENSG00000222017	1	3.854645484	0.552031268	6.982657881	2.90E-12	7.03E-10
ENSG00000234429.1	ENSG00000234429	1	3.840510087	1.419415319	2.705698632	0.006816087	0.039485474
ENSG00000231114.1	ENSG00000231114	1	3.831712333	1.114248131	3.438832183	0.000584229	0.00682606
ENSG00000273017.1	ENSG00000273017	1	3.812080063	0.732240584	5.206048593	1.93E-07	1.21E-05
ENSG00000263370.1	ENSG00000263370	1	3.80361041	1.426221351	2.666914507	0.007655114	0.043018448
ENSG00000172724.10	ENSG00000172724	10	3.792101512	1.047557577	3.619945665	0.000294665	0.004143153
ENSG00000172183.13	ENSG00000172183	13	3.786962953	0.485857553	7.794389386	6.47E-15	2.51E-12
ENSG00000279440.1	ENSG00000279440	1	3.778955992	1.210691474	3.121320396	0.00180042	0.015462668
ENSG00000250267.2	ENSG00000250267	2	3.753840287	0.731254612	5.133424426	2.85E-07	1.68E-05
ENSG00000185885.14	ENSG00000185885	14	3.737431636	0.335679108	11.13394176	8.58E-29	1.29E-25
ENSG00000229357.1	ENSG00000229357	1	3.7233945	1.073084456	3.469805642	0.000520835	0.006271492
ENSG00000276368.1	ENSG00000276368	1	3.712683443	1.224659895	3.031603678	0.002432584	0.018983377
ENSG00000227117.5	ENSG00000227117	5	3.701177153	0.806858459	4.587145507	4.49E-06	0.000160612
ENSG00000205678.6	ENSG00000205678	6	3.692363101	1.354212134	2.726576589	0.00639951	0.037742659
ENSG00000138083.4	ENSG00000138083	4	3.680573851	1.179120668	3.121456481	0.001799588	0.015460411
ENSG00000181541.5	ENSG00000181541	5	3.674663569	0.66008255	5.566975783	2.59E-08	2.17E-06
ENSG00000251235.3	ENSG00000251235	3	3.657387685	1.392167769	2.627117052	0.008611171	0.046840699
ENSG00000279554.1	ENSG00000279554	1	3.655335859	1.290856278	2.831714049	0.004629923	0.029903773
ENSG00000179577.3	ENSG00000179577	3	3.645459983	1.257111085	2.899871004	0.003733163	0.025706302
ENSG00000251230.4	ENSG00000251230	4	3.635942206	0.771191641	4.714706454	2.42E-06	9.66E-05
ENSG00000279307.1	ENSG00000279307	1	3.628944167	1.367785258	2.653153444	0.007974361	0.044362793
ENSG00000138646.7	ENSG00000138646	7	3.626708475	0.317502984	11.42259649	3.22E-30	5.47E-27
ENSG00000260558.1	ENSG00000260558	1	3.622349247	1.181155232	3.066785085	0.002163744	0.017598233
ENSG00000119917.12	ENSG00000119917	12	3.621779397	0.313523155	11.55187214	7.22E-31	1.31E-27
ENSG00000181617.5	ENSG00000181617	5	3.620068221	0.601080607	6.022600257	1.72E-09	2.04E-07
ENSG00000111783.11	ENSG00000111783	11	3.606586574	1.365860521	2.640523331	0.008277809	0.045556461
ENSG00000271461.1	ENSG00000271461	1	3.605777285	1.239076458	2.91005229	0.003613683	0.025132027
ENSG00000243649.7	ENSG00000243649	7	3.594003811	0.540767604	6.646115235	3.01E-11	5.92E-09
ENSG00000279530.1	ENSG00000279530	1	3.56777496	0.970577747	3.675929074	0.000236985	0.003531381
ENSG00000234073.1	ENSG00000234073	1	3.550644401	0.622113669	5.7073885	1.15E-08	1.11E-06
ENSG00000233975.1	ENSG00000233975	1	3.545303434	0.636025298	5.574154747	2.49E-08	2.12E-06
ENSG00000163734.4	ENSG00000163734	4	3.544175845	0.648507327	5.465128455	4.63E-08	3.56E-06
ENSG00000115267.5	ENSG00000115267	5	3.523973592	0.336530736	10.47147619	1.17E-25	1.51E-22
ENSG00000235225.1	ENSG00000235225	1	3.520859974	0.899182887	3.915621642	9.02E-05	0.001726223
ENSG00000143355.14	ENSG00000143355	14	3.51165255	1.094858936	3.207401826	0.001339398	0.012540092
ENSG00000226089.2	ENSG00000226089	2	3.507710855	1.2397955	2.829265677	0.004665495	0.030082326
ENSG00000258954.1	ENSG00000258954	1	3.507662296	1.175318048	2.984436682	0.00284101	0.021243059
ENSG00000108342.11	ENSG00000108342	11	3.506327024	1.133990551	3.092024903	0.001987962	0.016590777
ENSG00000131668.12	ENSG00000131668	12	3.50558547	1.06167628	3.301934437	0.000960205	0.009843008
ENSG00000279985.1	ENSG00000279985	1	3.500505113	0.826095317	4.237410672	2.26E-05	0.000583873
ENSG00000234586.2	ENSG00000234586	2	3.496893579	0.959317121	3.645190418	0.000267194	0.003864921
ENSG00000137198.8	ENSG00000137198	8	3.494766928	0.382464449	9.137494832	6.39E-20	4.15E-17
ENSG00000138642.13	ENSG00000138642	13	3.465430326	0.257269246	13.47005277	2.35E-41	2.13E-37
ENSG00000068079.6	ENSG00000068079	6	3.459793476	0.324985784	10.64598406	1.82E-26	2.60E-23
ENSG00000126709.13	ENSG00000126709	13	3.449943071	0.422616294	8.163298773	3.26E-16	1.45E-13
ENSG00000250011.1	ENSG00000250011	1	3.444860404	0.627460528	5.490162726	4.02E-08	3.16E-06
ENSG00000170807.11	ENSG00000170807	11	3.439640684	1.131323471	3.040368888	0.002362885	0.018599763
ENSG00000229172.1	ENSG00000229172	1	3.429509379	1.315551481	2.60689865	0.00913664	0.048905778
ENSG00000251557.2	ENSG00000251557	2	3.417224378	0.862171907	3.963506987	7.39E-05	0.001480677
ENSG00000242493.3	ENSG00000242493	3	3.414917344	0.983603225	3.471844397	0.000516896	0.006240656
ENSG00000236098.1	ENSG00000236098	1	3.407031543	0.690143136	4.936702784	7.95E-07	4.04E-05
ENSG00000205413.6	ENSG00000205413	6	3.405521883	0.345656833	9.85232044	6.70E-23	5.51E-20
ENSG00000168280.15	ENSG00000168280	15	3.404935353	0.386394444	8.812071202	1.23E-18	6.81E-16
ENSG00000280370.1	ENSG00000280370	1	3.386878604	0.643348569	5.264453465	1.41E-07	9.18E-06
ENSG00000274944.3	ENSG00000274944	3	3.378641575	0.866157736	3.900723199	9.59E-05	0.001802962
ENSG00000152430.16	ENSG00000152430	16	3.37782353	0.656674627	5.143831346	2.69E-07	1.60E-05
ENSG00000250325.1	ENSG00000250325	1	3.370452988	1.289933632	2.612888683	0.008978054	0.048222403
ENSG00000184979.9	ENSG00000184979	9	3.36539939	0.321131098	10.47983024	1.07E-25	1.45E-22
ENSG00000232732.8	ENSG00000232732	8	3.353998375	1.056638894	3.174214383	0.001502427	0.013595411
ENSG00000226508.1	ENSG00000226508	1	3.352097935	0.510792275	6.562546267	5.29E-11	9.78E-09
ENSG00000271208.1	ENSG00000271208	1	3.346836951	0.959384188	3.488526279	0.000485691	0.00597816
ENSG00000233514.1	ENSG00000233514	1	3.345968756	0.737704333	4.535650133	5.74E-06	0.00019427
ENSG00000258377.1	ENSG00000258377	1	3.335175298	0.543427734	6.137293127	8.39E-10	1.07E-07
ENSG00000181381.12	ENSG00000181381	12	3.324054009	0.279944329	11.87398229	1.62E-32	3.38E-29
ENSG00000107201.8	ENSG00000107201	8	3.322352736	0.275357287	12.06560672	1.60E-33	3.96E-30
ENSG00000267554.1	ENSG00000267554	1	3.320399381	0.53781329	6.173888675	6.66E-10	8.87E-08
ENSG00000090104.10	ENSG00000090104	10	3.314455576	0.59460614	5.574203414	2.49E-08	2.12E-06
ENSG00000254307.2	ENSG00000254307	2	3.306948757	0.881832665	3.750086483	0.000176774	0.002836417
ENSG00000157111.11	ENSG00000157111	11	3.303828102	1.073535518	3.077521002	0.002087301	0.017171878
ENSG00000215218.3	ENSG00000215218	3	3.300914082	0.440285566	7.497211673	6.52E-14	2.16E-11
ENSG00000089169.13	ENSG00000089169	13	3.274647016	1.241990013	2.636613002	0.00837383	0.045889672
ENSG00000267526.1	ENSG00000267526	1	3.273682462	0.804217152	4.070644917	4.69E-05	0.001045633
ENSG00000275139.1	ENSG00000275139	1	3.268692431	1.152064424	2.837247955	0.004550426	0.029544053
ENSG00000272963.1	ENSG00000272963	1	3.253410987	1.100943738	2.955111035	0.003125565	0.022708207
ENSG00000214144.3	ENSG00000214144	3	3.24133299	0.86000781	3.768957621	0.000163931	0.002684579
ENSG00000261600.1	ENSG00000261600	1	3.237058406	0.756546535	4.278730067	1.88E-05	0.00051009
ENSG00000232864.1	ENSG00000232864	1	3.236324386	1.090072101	2.968908554	0.002988595	0.021989488
ENSG00000267140.1	ENSG00000267140	1	3.228203505	1.031742154	3.128885925	0.001754704	0.01514666
ENSG00000265780.1	ENSG00000265780	1	3.220010865	0.961261452	3.349776338	0.000808768	0.008672967
ENSG00000255221.2	ENSG00000255221	2	3.215416648	1.07164482	3.000449952	0.002695811	0.02042725
ENSG00000229276.1	ENSG00000229276	1	3.215205438	1.148223238	2.800157087	0.005107774	0.032103816
ENSG00000111331.11	ENSG00000111331	11	3.214513428	0.326245389	9.853053994	6.65E-23	5.51E-20
ENSG00000249584.1	ENSG00000249584	1	3.212173855	1.053901579	3.047887885	0.002304559	0.018320729
ENSG00000274428.1	ENSG00000274428	1	3.211632808	1.158742844	2.771652765	0.00557725	0.034161439
ENSG00000235947.1	ENSG00000235947	1	3.205647168	0.926347788	3.46052229	0.000539129	0.006431897
ENSG00000092054.12	ENSG00000092054	12	3.201465658	0.918779339	3.484477199	0.000493099	0.006044696
ENSG00000102524.10	ENSG00000102524	10	3.197145967	0.421425803	7.586497899	3.29E-14	1.12E-11
ENSG00000249948.5	ENSG00000249948	5	3.196839982	0.481360442	6.641260283	3.11E-11	6.08E-09
ENSG00000258608.1	ENSG00000258608	1	3.189418532	0.906479438	3.518467598	0.000434047	0.005509758
ENSG00000239223.3	ENSG00000239223	3	3.18931851	1.064469424	2.996157932	0.002734048	0.020670863
