			log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000257342.1	ENSG00000257342	1	23.48441763	4.206386308	5.583038721	2.36E-08	2.04E-06
ENSG00000207513.1	ENSG00000207513	1	13.06077716	1.547170145	8.441719999	3.13E-17	1.57E-14
ENSG00000281298.1	ENSG00000281298	1	10.464514	3.199375445	3.270798997	0.001072441	0.010679455
ENSG00000177300.6	ENSG00000177300	6	10.38255677	1.483999583	6.99633402	2.63E-12	6.49E-10
ENSG00000186803.3	ENSG00000186803	3	10.04149201	1.607227261	6.247711355	4.17E-10	5.89E-08
ENSG00000234829.3	ENSG00000234829	3	9.987280806	1.618782173	6.16962614	6.85E-10	9.07E-08
ENSG00000236637.2	ENSG00000236637	2	9.950763547	2.004136736	4.965112094	6.87E-07	3.55E-05
ENSG00000120242.3	ENSG00000120242	3	9.908275806	1.657842142	5.97660993	2.28E-09	2.56E-07
ENSG00000214042.1	ENSG00000214042	1	9.757629326	1.629705236	5.987358394	2.13E-09	2.45E-07
ENSG00000228083.2	ENSG00000228083	2	9.598518827	1.615006159	5.943332645	2.79E-09	3.06E-07
ENSG00000272661.1	ENSG00000272661	1	9.410921492	2.914332563	3.229185855	0.001241432	0.011864981
ENSG00000254680.1	ENSG00000254680	1	9.337764824	2.905990664	3.213281081	0.001312278	0.012334959
ENSG00000270066.3	ENSG00000270066	3	9.173385738	3.020452827	3.037089557	0.002388745	0.018721942
ENSG00000265303.1	ENSG00000265303	1	9.046316321	3.381240548	2.67544299	0.007463056	0.042201068
ENSG00000147885.4	ENSG00000147885	4	8.895413232	1.697612591	5.239954792	1.61E-07	1.03E-05
ENSG00000188379.6	ENSG00000188379	6	8.814787454	1.603318798	5.497838273	3.84E-08	3.06E-06
ENSG00000233816.3	ENSG00000233816	3	8.407742387	2.90537842	2.893854491	0.003805445	0.026032461
ENSG00000277277.2	ENSG00000277277	2	8.350441078	1.531193718	5.453549722	4.94E-08	3.78E-06
ENSG00000230040.1	ENSG00000230040	1	8.324443015	1.55633874	5.348734695	8.86E-08	6.11E-06
ENSG00000120235.4	ENSG00000120235	4	8.224810761	1.59866793	5.144789989	2.68E-07	1.60E-05
ENSG00000281778.1	ENSG00000281778	1	8.090341433	1.639121345	4.935779438	7.98E-07	4.05E-05
ENSG00000171855.6	ENSG00000171855	6	8.026673525	1.237205605	6.48774423	8.71E-11	1.53E-08
ENSG00000265168.1	ENSG00000265168	1	8.019765297	1.70030643	4.716658807	2.40E-06	9.61E-05
ENSG00000260505.1	ENSG00000260505	1	7.994378984	1.695497131	4.715064885	2.42E-06	9.66E-05
ENSG00000254335.1	ENSG00000254335	1	7.779081917	1.644030942	4.731712598	2.23E-06	9.04E-05
ENSG00000268810.1	ENSG00000268810	1	7.594183325	1.848108902	4.10916441	3.97E-05	0.000917265
ENSG00000268902.2	ENSG00000268902	2	7.437511629	1.595593469	4.661282322	3.14E-06	0.000120572
ENSG00000183709.7	ENSG00000183709	7	7.350838874	1.859033509	3.954118545	7.68E-05	0.001530992
ENSG00000279648.1	ENSG00000279648	1	7.067828258	1.706431509	4.14187632	3.44E-05	0.000818979
ENSG00000166862.6	ENSG00000166862	6	7.032745812	2.038464457	3.450021309	0.000560542	0.006608998
ENSG00000271153.1	ENSG00000271153	1	7.015933625	1.874404024	3.743021001	0.000181821	0.002896873
ENSG00000123388.4	ENSG00000123388	4	7.010007612	1.692759268	4.141172194	3.46E-05	0.00081981
ENSG00000198914.2	ENSG00000198914	2	6.973688746	1.663876953	4.191228644	2.77E-05	0.000686418
ENSG00000279245.1	ENSG00000279245	1	6.940235366	1.901517792	3.649839826	0.000262404	0.003813912
ENSG00000251239.1	ENSG00000251239	1	6.916605147	1.968742183	3.513210214	0.000442727	0.00558601
ENSG00000229876.1	ENSG00000229876	1	6.825065789	1.831414807	3.726662994	0.000194032	0.003034517
ENSG00000147873.5	ENSG00000147873	5	6.774915901	1.029037896	6.583738002	4.59E-11	8.59E-09
ENSG00000119973.4	ENSG00000119973	4	6.766562806	1.639475196	4.127273669	3.67E-05	0.000860396
ENSG00000273897.1	ENSG00000273897	1	6.716489734	1.899185294	3.536511026	0.00040545	0.005254789
ENSG00000279628.1	ENSG00000279628	1	6.676375637	1.846145603	3.616386285	0.000298744	0.004191835
ENSG00000137080.4	ENSG00000137080	4	6.674141128	1.055272332	6.324567534	2.54E-10	3.83E-08
ENSG00000271121.2	ENSG00000271121	2	6.660070595	2.149224478	3.098825024	0.001942897	0.016355378
ENSG00000205867.3	ENSG00000205867	3	6.644326188	2.024396597	3.282126733	0.001030273	0.010388776
ENSG00000197919.4	ENSG00000197919	4	6.641605359	1.03359467	6.425734916	1.31E-10	2.24E-08
ENSG00000250215.1	ENSG00000250215	1	6.620602926	1.798581346	3.681013895	0.000232308	0.003473118
ENSG00000253510.1	ENSG00000253510	1	6.601607577	1.979627073	3.334773335	0.00085369	0.009029239
ENSG00000280356.1	ENSG00000280356	1	6.587058576	1.685447504	3.908195635	9.30E-05	0.001760292
ENSG00000268916.4	ENSG00000268916	4	6.55912761	0.958757915	6.841276101	7.85E-12	1.76E-09
ENSG00000280281.1	ENSG00000280281	1	6.556892869	1.676163146	3.91184646	9.16E-05	0.001742386
ENSG00000280105.1	ENSG00000280105	1	6.482651477	1.859271278	3.486662518	0.000489088	0.006003651
ENSG00000228810.1	ENSG00000228810	1	6.473531512	1.696876795	3.814968496	0.0001362	0.002346152
ENSG00000236445.4	ENSG00000236445	4	6.417496459	1.738899555	3.690550405	0.000223769	0.003367698
ENSG00000242195.1	ENSG00000242195	1	6.386705146	1.686042267	3.787986381	0.000151873	0.002549836
ENSG00000165970.10	ENSG00000165970	10	6.367410842	1.696022207	3.754320442	0.000173812	0.002802145
ENSG00000108700.4	ENSG00000108700	4	6.334958765	0.643521708	9.844203677	7.26E-23	5.80E-20
ENSG00000260377.1	ENSG00000260377	1	6.300753289	1.729949532	3.642160175	0.00027036	0.00389543
ENSG00000279927.1	ENSG00000279927	1	6.298572564	1.800607984	3.498025456	0.000468716	0.005827314
ENSG00000182111.8	ENSG00000182111	8	6.280455834	1.822568547	3.445936694	0.000569084	0.006692276
ENSG00000155833.13	ENSG00000155833	13	6.263900601	1.951384388	3.209977818	0.001327452	0.012456041
ENSG00000271034.1	ENSG00000271034	1	6.261896438	1.748949402	3.580375986	0.0003431	0.004646219
ENSG00000268510.1	ENSG00000268510	1	6.225902357	1.738544025	3.581101351	0.000342149	0.004637961
ENSG00000142515.13	ENSG00000142515	13	6.225112908	1.556795402	3.998671181	6.37E-05	0.001325966
ENSG00000279003.1	ENSG00000279003	1	6.218383614	1.895274976	3.280992833	0.001034424	0.010415227
ENSG00000220585.4	ENSG00000220585	4	6.204211599	1.927450456	3.218869559	0.00128697	0.01216442
ENSG00000183035.11	ENSG00000183035	11	6.182789739	1.951916667	3.167548002	0.001537303	0.01379156
ENSG00000255081.1	ENSG00000255081	1	6.166975832	1.935189068	3.186756238	0.00143878	0.013155319
ENSG00000223445.1	ENSG00000223445	1	6.147597768	1.780205714	3.453307513	0.000553757	0.006551893
ENSG00000279717.1	ENSG00000279717	1	6.110691998	1.749785214	3.49225262	0.000478965	0.005930303
ENSG00000234264.1	ENSG00000234264	1	6.083792241	1.873026657	3.248107664	0.001161753	0.011327717
ENSG00000250133.2	ENSG00000250133	2	6.005563835	1.767321512	3.398116185	0.000678516	0.007635413
ENSG00000279818.1	ENSG00000279818	1	5.979851814	1.763695898	3.390523174	0.000697594	0.007786789
ENSG00000254066.1	ENSG00000254066	1	5.967132424	1.902127792	3.137082823	0.001706379	0.014852224
ENSG00000224674.1	ENSG00000224674	1	5.965239398	1.789584721	3.333309302	0.000858195	0.009067624
ENSG00000177047.6	ENSG00000177047	6	5.963208807	1.225553491	4.865727078	1.14E-06	5.33E-05
ENSG00000249359.2	ENSG00000249359	2	5.922026683	1.816003914	3.261020881	0.001110119	0.010981173
ENSG00000236666.1	ENSG00000236666	1	5.91533759	1.818364852	3.253108189	0.0011415	0.011180958
ENSG00000228392.1	ENSG00000228392	1	5.910077222	1.920955771	3.07663368	0.002093524	0.017197031
ENSG00000259828.1	ENSG00000259828	1	5.882737019	1.950284608	3.01634797	0.002558395	0.019688044
ENSG00000225934.2	ENSG00000225934	2	5.882542123	1.879719555	3.129478601	0.001751168	0.015133855
ENSG00000278593.1	ENSG00000278593	1	5.880727388	1.879344254	3.129137929	0.0017532	0.015138486
ENSG00000198765.10	ENSG00000198765	10	5.870784423	1.917032948	3.062432719	0.002195458	0.017707727
ENSG00000239649.3	ENSG00000239649	3	5.865846601	1.860848137	3.152243584	0.001620211	0.014313177
ENSG00000253894.1	ENSG00000253894	1	5.852046126	2.090463548	2.799401182	0.005119748	0.032156755
ENSG00000279714.1	ENSG00000279714	1	5.844843219	1.782869652	3.278334573	0.001044215	0.010494308
ENSG00000169248.11	ENSG00000169248	11	5.820983938	0.973717165	5.9781055	2.26E-09	2.56E-07
ENSG00000259112.1	ENSG00000259112	1	5.819868037	0.740640069	7.857889789	3.91E-15	1.54E-12
ENSG00000249842.1	ENSG00000249842	1	5.716245001	0.724169034	7.893523108	2.94E-15	1.17E-12
ENSG00000169245.5	ENSG00000169245	5	5.706917196	0.557544568	10.2358045	1.37E-24	1.55E-21
ENSG00000213431.4	ENSG00000213431	4	5.699353832	1.751049877	3.254820955	0.001134639	0.01113982
ENSG00000279582.1	ENSG00000279582	1	5.576422442	1.714047369	3.253365421	0.001140467	0.011180366
ENSG00000108688.10	ENSG00000108688	10	5.460283216	1.548447324	3.526295749	0.000421416	0.005399891
ENSG00000163735.6	ENSG00000163735	6	5.422917405	1.320968582	4.105258427	4.04E-05	0.000929741
ENSG00000273706.3	ENSG00000273706	3	5.379884436	1.628811803	3.302950302	0.000956733	0.009817193
ENSG00000248339.1	ENSG00000248339	1	5.374151322	1.592367737	3.374943613	0.000738308	0.008142973
ENSG00000185745.9	ENSG00000185745	9	5.338122693	0.263064621	20.29205856	1.51E-91	4.11E-87
ENSG00000187608.7	ENSG00000187608	7	5.32042654	0.404257651	13.16097921	1.47E-39	8.00E-36
ENSG00000233661.1	ENSG00000233661	1	5.241841019	1.760144433	2.978074368	0.002900656	0.021548144
ENSG00000228318.3	ENSG00000228318	3	5.227002264	0.618469077	8.451517564	2.88E-17	1.47E-14
