"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"ENSEMBL_ID"	"ENSEMBL"	"SYMBOL"
"1"	8582.49551119885	-0.867757318333484	0.270939071454566	-3.20277660093405	0.00136109521237186	0.0193760810950757	"ENSG00000000003"	"ENSG00000000003"	"TSPAN6"
"2"	3235.57274829932	-1.17833679875934	0.216179917935973	-5.45072275912477	5.01655228158186e-08	4.51301584631808e-06	"ENSG00000001460"	"ENSG00000001460"	"STPG1"
"3"	57010.0516673871	0.581900302237611	0.195205623945952	2.98096074526381	0.00287345623402012	0.0341645980146854	"ENSG00000002549"	"ENSG00000002549"	"LAP3"
"4"	473.37974121547	-0.910896646297567	0.317621588611226	-2.86786754729232	0.00413248497198531	0.0447745492561208	"ENSG00000002726"	"ENSG00000002726"	"AOC1"
"5"	1798.5128127701	-1.03176740842841	0.246759621609486	-4.18126515877567	2.89891560850444e-05	0.000881245855729946	"ENSG00000003096"	"ENSG00000003096"	"KLHL13"
"6"	8536.03924456005	1.1210881658812	0.139156836253593	8.05629242560663	7.86433655523131e-16	2.82998150939999e-12	"ENSG00000004799"	"ENSG00000004799"	"PDK4"
"7"	19356.0653841275	-1.80064166845785	0.296511384379645	-6.07275728122586	1.25732425215095e-09	2.62288772253056e-07	"ENSG00000004838"	"ENSG00000004838"	"ZMYND10"
"8"	387.751836033587	-2.35910571147014	0.49160560334998	-4.79877709976113	1.59637333995889e-06	8.20649923406012e-05	"ENSG00000004848"	"ENSG00000004848"	"ARX"
"9"	5789.57075420891	0.645574239655786	0.193277931996964	3.34013424598276	0.000837379009659908	0.0132453115000491	"ENSG00000005020"	"ENSG00000005020"	"SKAP2"
"10"	13969.608756422	-1.06911407891721	0.329866288420082	-3.2410528642918	0.00119089097081961	0.0174202363697698	"ENSG00000005379"	"ENSG00000005379"	"TSPOAP1"
"11"	7478.20021903557	-1.28234928817779	0.251324573154016	-5.10236333870923	3.35437960626572e-07	2.21576313525367e-05	"ENSG00000005448"	"ENSG00000005448"	"WDR54"
"12"	8623.08401688492	-0.983103514152679	0.239025625595212	-4.1129628327699	3.90613293490774e-05	0.00112225304321481	"ENSG00000006453"	"ENSG00000006453"	"BAIAP2L1"
"13"	5691.76486374287	0.71341938204866	0.231539641309489	3.08119757815061	0.00206169792976871	0.0267834657049556	"ENSG00000006468"	"ENSG00000006468"	"ETV1"
"14"	21377.3845677631	-1.48052427557069	0.378234652936796	-3.91430098769426	9.06664814872452e-05	0.00223086040090155	"ENSG00000006534"	"ENSG00000006534"	"ALDH3B1"
"15"	1723.74736497191	-1.01308523377395	0.335307528347603	-3.0213614312999	0.00251640788910552	0.0310360724078844	"ENSG00000006555"	"ENSG00000006555"	"TTC22"
"16"	14.5277519026126	2.36847230632387	0.670073442009527	3.53464584303014	0.000408322032037891	0.00750624179968507	"ENSG00000006606"	"ENSG00000006606"	"CCL26"
"17"	8632.47628217917	-1.90998306055048	0.3348728180243	-5.70360733313351	1.17298118529383e-08	1.45550786044132e-06	"ENSG00000007174"	"ENSG00000007174"	"DNAH9"
"18"	3010.22681824656	1.45599894308544	0.313825345118128	4.63951992958816	3.49219458848039e-06	0.000157575701901526	"ENSG00000007312"	"ENSG00000007312"	"CD79B"
"19"	169.618480104131	1.18888718715556	0.362332799889888	3.28120221938743	0.00103365606862581	0.0155550919516988	"ENSG00000007314"	"ENSG00000007314"	"SCN4A"
"20"	13802.3235188079	-1.90362228979476	0.429427406873232	-4.43293152538984	9.29603964334021e-06	0.000348735202998038	"ENSG00000007516"	"ENSG00000007516"	"BAIAP3"
"21"	2178.96856495216	1.05056420657673	0.319501485511395	3.28813559315755	0.00100853253122257	0.0152812839759519	"ENSG00000007968"	"ENSG00000007968"	"E2F2"
"22"	22540.9070053715	-2.46987007833444	0.312058906284747	-7.91475592778224	2.47738611399569e-15	6.48354467724616e-12	"ENSG00000008226"	"ENSG00000008226"	"DLEC1"
"23"	17281.6845027991	-0.819190127186858	0.255299222520225	-3.20874509174019	0.00133315629812067	0.0191129997561244	"ENSG00000008283"	"ENSG00000008283"	"CYB561"
"24"	338.364831860287	-1.09416387290185	0.242792471995596	-4.5065807185393	6.58806306415609e-06	0.000264386906114573	"ENSG00000009765"	"ENSG00000009765"	"IYD"
"25"	395.003762502873	-1.75251950548231	0.298227381810003	-5.8764540494099	4.1914768289833e-09	6.35074920804059e-07	"ENSG00000010282"	"ENSG00000010282"	"HHATL"
"26"	5964.29692044477	-1.62630152325719	0.405073991325683	-4.01482582955969	5.94897088961065e-05	0.00158867322792311	"ENSG00000010310"	"ENSG00000010310"	"GIPR"
"27"	10700.3634009298	-1.69513767166929	0.295843490321219	-5.72984610825391	1.00521787974402e-08	1.26921983868731e-06	"ENSG00000010626"	"ENSG00000010626"	"LRRC23"
"28"	4006.65049727727	-0.724651774907705	0.201853203025305	-3.58999393641952	0.000330685653782107	0.00632543428643143	"ENSG00000011143"	"ENSG00000011143"	"MKS1"
"29"	1761.20422706627	0.776975444709767	0.187811584855374	4.13699423977537	3.51884939490337e-05	0.00103157470855884	"ENSG00000011426"	"ENSG00000011426"	"ANLN"
"30"	412.234865994724	1.70927060340725	0.442015533296058	3.86699216351385	0.000110185967219448	0.00261935063940006	"ENSG00000011590"	"ENSG00000011590"	"ZBTB32"
"31"	4275.15118900422	-0.651334653012303	0.168483389772133	-3.86586864077941	0.000110694508787969	0.00262493700081389	"ENSG00000011638"	"ENSG00000011638"	"TMEM159"
