"SYMBOL"	"ENSEMBL"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"82"	"LINC00689"	"ENSG00000231419"	495.005524741291	-1.76285336710735	0.441711768659178	-3.9909585666203	6.58067774390452e-05	0.00538595762367343
"83"	"PAK6"	"ENSG00000137843"	1299.34636161942	-1.75482941546853	0.533950436286945	-3.28650244706512	0.00101439892512709	0.0315139182166841
"84"	"BUB1B-PAK6"	"ENSG00000137843"	1299.34636161942	-1.75482941546853	0.533950436286945	-3.28650244706512	0.00101439892512709	0.0315139182166841
"85"	NA	"ENSG00000233817"	30.5166450842016	-1.74772828118493	0.425772459068714	-4.10484108109695	4.04592918051734e-05	0.00385202733645786
"86"	"DEUP1"	"ENSG00000165325"	623.048063655365	-1.74372834376593	0.477111152239918	-3.65476333047249	0.000257419330992154	0.0141006350172239
"87"	"MEIG1"	"ENSG00000197889"	221.943342318959	-1.737291848693	0.459058517833002	-3.78446708034943	0.000154038294187717	0.00988918782708348
"88"	"SCGB3A2"	"ENSG00000164265"	141081.623448962	-1.7349311058593	0.293458688706186	-5.91201137546258	3.37955192795723e-09	1.19743086095507e-06
"89"	"CRISP2"	"ENSG00000124490"	1360.42329146073	-1.72279999835553	0.51564625738323	-3.34105013599495	0.000834621502158129	0.0282489606613158
"90"	"FAM83A"	"ENSG00000147689"	436.524580761916	-1.72221380741145	0.557671936937054	-3.08822031976452	0.0020135912778901	0.0455638103956523
"91"	"LOC100129175"	"ENSG00000224090"	263.27934235961	-1.71748376703122	0.519793856440262	-3.30416326732519	0.000952603374028271	0.0307192638737619
"92"	"LINC00589"	"ENSG00000251191"	98.6120231356097	-1.71199820313616	0.54178947864565	-3.15989562480203	0.00157825666860314	0.0402888213594212
"93"	"UGT2B17"	"ENSG00000197888"	822.822254053124	-1.70716225679358	0.518989143383899	-3.2893987833013	0.00100401660571426	0.0313888336345226
"94"	NA	"ENSG00000228792"	22.5332023137358	-1.70093066623671	0.543731753776679	-3.12825332422155	0.00175848548650573	0.0426615426888688
"95"	"CASP16P"	"ENSG00000228146"	31.912717012733	-1.6951389955803	0.441960788795212	-3.83549635749648	0.000125310963637862	0.00864465292076224
"96"	"RIBC2"	"ENSG00000128408"	1776.80186835716	-1.68530106119944	0.499098848834544	-3.37668793493478	0.000733642339364451	0.0262600802060746
"97"	NA	"ENSG00000259251"	145.266677545819	-1.67443711791625	0.49385656874946	-3.39053325170149	0.000697567916973916	0.0255603371892408
"98"	NA	"ENSG00000247311"	155.554093948542	-1.67346481303499	0.520603287386357	-3.21447223554133	0.00130684552461472	0.0368138439093417
"99"	"LINC02265"	"ENSG00000249241"	189.317271853893	-1.67234246227457	0.445306480878236	-3.7554864662566	0.00017300511030002	0.0107613023164619
"100"	"UGT2B15"	"ENSG00000196620"	147.26471006889	-1.67041335796069	0.475811619722345	-3.51066112873713	0.000446993818600316	0.0199236080850789
"101"	"ARMH2"	"ENSG00000260286"	819.161430322249	-1.66769950003877	0.438159531199963	-3.80614680564299	0.000141148620213382	0.00934016791582216
"102"	"FAM166C"	"ENSG00000173557"	795.381838784367	-1.66307701824603	0.524852610641803	-3.16865532251497	0.00153145894778931	0.0395817796930477
"103"	"CCDC184"	"ENSG00000177875"	484.999616560753	-1.65772337703985	0.467486887984735	-3.54603181318313	0.000391078991269536	0.0181987071448514
"104"	NA	"ENSG00000260592"	56.1562326463325	-1.6537768481776	0.490861650178287	-3.3691302785152	0.00075405778687217	0.02673074374711
"105"	"ZNF474"	"ENSG00000164185"	1481.71141156501	-1.65357814661407	0.499403850509699	-3.31110411929425	0.000929286248675328	0.030245967860814
"106"	"FRMPD2"	"ENSG00000170324"	1860.58119234093	-1.65338205404693	0.533877716608569	-3.09693025689469	0.00195535871999518	0.0450218762765
"107"	"CNTN5"	"ENSG00000149972"	561.624685660706	-1.6497520883148	0.523602192606231	-3.1507738348137	0.00162838530369305	0.0409266962212119
"108"	"CAPSL"	"ENSG00000152611"	5811.4699729515	-1.64771956627023	0.498362296873734	-3.30626850507453	0.000945474394235071	0.030559784952695
"109"	"RIIAD1"	"ENSG00000178796"	805.777920272932	-1.63319910596762	0.443828272768078	-3.67979961209243	0.000233417301941628	0.013150374794637
"110"	NA	"ENSG00000225415"	86.7872996976569	-1.63124750614485	0.397558115237907	-4.10316742036237	4.07532121790249e-05	0.00386685817662063
"111"	"CFAP126"	"ENSG00000188931"	5120.44639202704	-1.63009486690385	0.484826611746357	-3.36222234384413	0.000773178393767395	0.0269805385155637
"112"	"C2orf50"	"ENSG00000150873"	765.483804563794	-1.62718802645069	0.508686096439066	-3.1988057818789	0.00137998101128064	0.0377955464645365
"113"	"EFCAB12"	"ENSG00000172771"	5565.08570961518	-1.61948932291523	0.472289984557962	-3.42901474912914	0.000605776606855747	0.023678788489053
"114"	"GSTA1"	"ENSG00000243955"	9045.19550826487	-1.61795597843461	0.500881354987217	-3.23021801934693	0.00123695853991819	0.0358052807557911
"115"	"CCNA1"	"ENSG00000133101"	2695.21546435245	-1.61753145871982	0.471480610649467	-3.43074862928439	0.000601918090155548	0.0235640409252363
"116"	"DRC1"	"ENSG00000157856"	8756.26208282128	-1.61010294725423	0.487581683871011	-3.30222196714054	0.000959221304451869	0.0308261349401978
"117"	"FAM81B"	"ENSG00000153347"	4231.15533122991	-1.60237440576856	0.462250950418283	-3.46645994847302	0.000527360296981008	0.021707855989405
"118"	"FHAD1"	"ENSG00000142621"	5513.66598369829	-1.59871105492465	0.450872418033854	-3.54581693397047	0.000391398010117556	0.0181987071448514
"119"	"LOC100130548"	"ENSG00000235138"	28.0272548401398	-1.59756487069296	0.399015799382009	-4.00376344286929	6.23427053152874e-05	0.00522465468407249
"120"	"SRGAP3-AS2"	"ENSG00000228723"	4603.57997998882	-1.59562376904192	0.499701106341955	-3.193156366458	0.00140726720203335	0.0379737141643477
"121"	"C4orf47"	"ENSG00000205129"	1956.0396509656	-1.5897519504254	0.470586771405912	-3.37823340353556	0.000729531316614647	0.0262471864824686
"122"	"C8B"	"ENSG00000021852"	310.040589130144	-1.58901983080385	0.495429096556218	-3.20736073405721	0.00133958902919569	0.0370518147393445
"123"	"CRYM"	"ENSG00000103316"	2736.88640223286	-1.58876003104197	0.320662164483214	-4.9546226746222	7.2470783172646e-07	0.000134339714687784
"124"	"SPDYE16"	"ENSG00000185040"	23.7383022835421	-1.58799049289287	0.482316828642011	-3.29242190732581	0.000993284787850057	0.0312043035877788
"125"	"SPATS1"	"ENSG00000249481"	587.054818325373	-1.58585294432323	0.512648498984061	-3.09345086831618	0.00197843309114288	0.0452128756167743
"126"	"GSTA3"	"ENSG00000174156"	1234.83095827437	-1.5856364581888	0.470883667160472	-3.36736346739423	0.000758905941136437	0.0267875614102775
"127"	"ROPN1L"	"ENSG00000145491"	6970.28023551935	-1.58479858292457	0.489462665440165	-3.2378334341382	0.00120441105694622	0.0352620168266392
"128"	"ROPN1B"	"ENSG00000114547"	254.858264651707	-1.58266054005211	0.514798671452215	-3.07432910731398	0.00210976553582398	0.04677374307567
